uid,lat,lon,heading,country,city,district,ward,image_path
0,10.76754939947737,106.7038542009147,234.94387632339925,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_0.jpg
1,10.767347913936506,106.70344533207695,234.94387632339925,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_1.jpg
2,10.76705109578404,106.70310259719356,234.94387632339925,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_2.jpg
3,10.770820999474918,106.70121880091904,93.53477734857265,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_3.jpg
4,10.770793285674024,106.70167508755472,93.53477734857265,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_4.jpg
5,10.770820999474918,106.70121880091904,273.5683567713008,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_5.jpg
6,10.77084064334461,106.70076208585284,273.5683567713008,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_6.jpg
7,10.770859925475426,106.70030535513266,273.5683567713008,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_7.jpg
8,10.7708785947057,106.69984859798586,273.5683567713008,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_8.jpg
9,10.77089726327104,106.69939184067796,273.5683567713008,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_9.jpg
10,10.77113889947474,106.70108200091934,336.9769199063206,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_10.jpg
11,10.771554226763527,106.70090161713333,336.9769199063206,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_11.jpg
12,10.77113889947474,106.70108200091934,275.01662228855275,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_12.jpg
13,10.771160502685447,106.70062537584712,275.01662228855275,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_13.jpg
14,10.771182105232944,106.70016875060502,275.01662228855275,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_14.jpg
15,10.771203707117222,106.6997121251931,275.01662228855275,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_15.jpg
16,10.77122423622135,106.69925571307562,275.01662228855275,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_16.jpg
17,10.771228116438854,106.6988307062098,275.01662228855275,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_17.jpg
18,10.77113889947474,106.70108200091934,92.54384126503254,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_18.jpg
19,10.771118846085916,106.70153869773333,92.54384126503254,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_19.jpg
20,10.773015199476289,106.70505290091664,313.34704451408726,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_20.jpg
21,10.773324406091984,106.70471944657535,313.34704451408726,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_21.jpg
22,10.773633608079688,106.704385987404,313.34704451408726,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_22.jpg
