u,v,key,osmid,highway,name,oneway,reversed,length,geometry,maxspeed,lanes,service,ref,bridge,width,tunnel,access,junction
366367367,2614430799,0,32582330,residential,Hẻm 204B Nguyễn Văn Hưởng,False,True,39.16861414088008,"LINESTRING (106.7324492 10.8139013, 106.732404 10.8138034, 106.7322674 10.8135987)",,,,,,,,,
366368182,366465322,0,32585772,residential,Bùi Điền,False,False,45.778364379659266,"LINESTRING (106.6709134 10.7421444, 106.6713271 10.7422099)",,,,,,,,,
366368182,366428961,0,32585772,residential,Bùi Điền,False,True,40.067989459418705,"LINESTRING (106.6709134 10.7421444, 106.6705513 10.7420871)",,,,,,,,,
366368182,2685998216,0,32587210,residential,Tám Danh,False,True,40.92824540267363,"LINESTRING (106.6709134 10.7421444, 106.670969 10.7417804)",,,,,,,,,
366368194,5671815972,0,32575984,residential,Đường Mê Linh,False,False,46.30288712077489,"LINESTRING (106.7095438 10.7902412, 106.7095228 10.7898253)",,,,,,,,,
366368194,366386086,0,544981806,residential,Phạm Viết Chánh,False,False,92.8759896059378,"LINESTRING (106.7095438 10.7902412, 106.7086951 10.7902922)",,,,,,,,,
366368194,5775221825,0,544981806,residential,Phạm Viết Chánh,False,True,5.9630919883754165,"LINESTRING (106.7095438 10.7902412, 106.7095982 10.7902367)",,,,,,,,,
366368313,5814336846,0,32588971,residential,Cao Đạt,False,False,64.31691425595727,"LINESTRING (106.6841396 10.7546276, 106.6835737 10.754468)",50,,,,,,,,
366368313,6468025282,0,689466826,residential,Cao Đạt,False,False,7.961716487982093,"LINESTRING (106.6841396 10.7546276, 106.6842094 10.7546482)",,,,,,,,,
366368313,6760578323,0,689466825,secondary,Nguyễn Biểu,False,True,137.7768546332388,"LINESTRING (106.6841396 10.7546276, 106.6841251 10.7547082, 106.6837109 10.7557915)",50,1,,,,,,,
366368313,5814337691,0,1186169041,secondary,Nguyễn Biểu,False,False,31.90180490736431,"LINESTRING (106.6841396 10.7546276, 106.6841794 10.7545594, 106.6842517 10.7543636)",50,1,,,,,,,
366368540,366428261,0,32576644,residential,Đào Cam Mộc,False,False,44.45570197399754,"LINESTRING (106.6727592 10.742907, 106.6731609 10.7429709)",,,,,,,,,
