osmid,y,x,street_count,highway,ref,railway,geometry
366367367,10.8139013,106.7324492,1,,,,POINT (106.7324492 10.8139013)
366368182,10.7421444,106.6709134,3,,,,POINT (106.6709134 10.7421444)
366368194,10.7902412,106.7095438,3,,,,POINT (106.7095438 10.7902412)
366368313,10.7546276,106.6841396,4,,,,POINT (106.6841396 10.7546276)
366368540,10.742907,106.6727592,4,,,,POINT (106.6727592 10.742907)
366368861,10.8081057,106.7290197,4,,,,POINT (106.7290197 10.8081057)
366368862,10.7307777,106.6469638,3,,,,POINT (106.6469638 10.7307777)
366369015,10.7916014,106.7332519,3,,,,POINT (106.7332519 10.7916014)
366369081,10.8120658,106.724416,3,,,,POINT (106.724416 10.8120658)
366369338,10.7270634,106.6519265,3,,,,POINT (106.6519265 10.7270634)
366369490,10.7397161,106.6620327,3,,,,POINT (106.6620327 10.7397161)
366369560,10.7896273,106.7514137,3,,,,POINT (106.7514137 10.7896273)
366369671,10.7399661,106.6619589,3,,,,POINT (106.6619589 10.7399661)
366369725,10.7935921,106.7306955,3,,,,POINT (106.7306955 10.7935921)
366369985,10.7136788,106.6297972,3,,,,POINT (106.6297972 10.7136788)
366370535,10.7568212,106.7181837,3,,,,POINT (106.7181837 10.7568212)
366370560,10.7981031,106.6886003,4,traffic_signals,,,POINT (106.6886003 10.7981031)
366370602,10.7409177,106.6374738,3,,,,POINT (106.6374738 10.7409177)
366370739,10.7661983,106.7782177,3,,,,POINT (106.7782177 10.7661983)
366370816,10.7448996,106.6754152,3,,,,POINT (106.6754152 10.7448996)
366370895,10.8051544,106.7502282,3,,,,POINT (106.7502282 10.8051544)
366371081,10.7831326,106.7638553,3,,,,POINT (106.7638553 10.7831326)
366371143,10.7949188,106.7349083,3,,,,POINT (106.7349083 10.7949188)
366371637,10.7495382,106.6590002,4,,,,POINT (106.6590002 10.7495382)
366371661,10.7617442,106.7308645,1,,,,POINT (106.7308645 10.7617442)
366371894,10.8041878,106.7370982,3,,,,POINT (106.7370982 10.8041878)
366372116,10.7923995,106.7080833,3,,,,POINT (106.7080833 10.7923995)
366372118,10.7431712,106.6742065,4,,,,POINT (106.6742065 10.7431712)
366372283,10.7507611,106.6556852,3,,,,POINT (106.6556852 10.7507611)
366372316,10.7869319,106.7638643,3,,,,POINT (106.7638643 10.7869319)
366372348,10.7650406,106.7828595,3,,,,POINT (106.7828595 10.7650406)
366372405,10.7516447,106.6940276,3,,,,POINT (106.6940276 10.7516447)
366372469,10.8119038,106.7254587,3,,,,POINT (106.7254587 10.8119038)
366373362,10.7985705,106.6875652,4,traffic_signals,,,POINT (106.6875652 10.7985705)
366373616,10.7299692,106.6332514,3,,,,POINT (106.6332514 10.7299692)
366373684,10.7954565,106.730999,3,,,,POINT (106.730999 10.7954565)
366373884,10.7164385,106.6288257,4,,,,POINT (106.6288257 10.7164385)
366373925,10.7189054,106.6199394,3,,,,POINT (106.6199394 10.7189054)
366374189,10.8124174,106.7252907,3,,,,POINT (106.7252907 10.8124174)
366374297,10.7478943,106.6494144,4,,,,POINT (106.6494144 10.7478943)
366374482,10.7837428,106.7703209,3,,,,POINT (106.7703209 10.7837428)
366374786,10.7957507,106.6982258,3,,,,POINT (106.6982258 10.7957507)
366374900,10.7411038,106.6401923,3,,,,POINT (106.6401923 10.7411038)
366375026,10.7455813,106.6585792,3,,,,POINT (106.6585792 10.7455813)
366375173,10.7923958,106.7060718,3,,,,POINT (106.7060718 10.7923958)
366375434,10.7427109,106.671596,3,,,,POINT (106.671596 10.7427109)
366375817,10.6964974,106.5944085,4,,,,POINT (106.5944085 10.6964974)
366376331,10.7881926,106.7741968,3,,,,POINT (106.7741968 10.7881926)
366376445,10.7452074,106.6522154,3,,,,POINT (106.6522154 10.7452074)
366376502,10.7469876,106.6726632,3,,,,POINT (106.6726632 10.7469876)
366376560,10.8060519,106.7312019,4,,,,POINT (106.7312019 10.8060519)
366376803,10.7282458,106.6324605,3,,,,POINT (106.6324605 10.7282458)
366376872,10.7403219,106.6599962,4,,,,POINT (106.6599962 10.7403219)
366377032,10.7159432,106.6298803,3,,,,POINT (106.6298803 10.7159432)
366377079,10.779405,106.7645969,3,,,,POINT (106.7645969 10.779405)
366377293,10.795057,106.6989396,3,,,,POINT (106.6989396 10.795057)
366377295,10.7425566,106.6450043,3,,,,POINT (106.6450043 10.7425566)
366377989,10.7477542,106.6634864,3,,,,POINT (106.6634864 10.7477542)
366378008,10.8141687,106.7263224,4,,,,POINT (106.7263224 10.8141687)
366378120,10.7071293,106.6268768,3,,,,POINT (106.6268768 10.7071293)
366378323,10.7424604,106.6522265,3,,,,POINT (106.6522265 10.7424604)
366378659,10.7538468,106.6842732,3,,,,POINT (106.6842732 10.7538468)
366378835,10.8056696,106.7301744,3,,,,POINT (106.7301744 10.8056696)
366378988,10.7960852,106.690656,3,,,,POINT (106.690656 10.7960852)
366379201,10.7935659,106.7346394,3,,,,POINT (106.7346394 10.7935659)
366379240,10.716349,106.6267289,3,,,,POINT (106.6267289 10.716349)
366379307,10.7381227,106.6663242,3,,,,POINT (106.6663242 10.7381227)
366379323,10.7800344,106.7688637,3,,,,POINT (106.7688637 10.7800344)
366379430,10.7773722,106.7676993,3,,,,POINT (106.7676993 10.7773722)
366379450,10.748302,106.665162,4,,,,POINT (106.665162 10.748302)
366380108,10.7472906,106.6620875,3,,,,POINT (106.6620875 10.7472906)
366380192,10.7927102,106.7103483,3,,,,POINT (106.7103483 10.7927102)
366380602,10.7211857,106.6367173,1,,,,POINT (106.6367173 10.7211857)
