fold,group,n_samples,rmse,r2,mae,model
1,Ben Nghe,2035,0.9547865654134123,0.6927845185986569,0.6962803698640458,full
2,Ben Thanh,1835,0.802569540341765,0.5027909903390345,0.6030794069877443,full
3,Caukho,1048,1.0227091360929523,0.4519510903232443,0.7652486189631034,full
4,Cau Ong Lanh,606,1.0053897539693437,0.4810550549307646,0.776185601615275,full
5,Co Giang,29,0.3222779282293698,0.9255557204538195,0.2612276274582522,full
6,Binh An,633,0.6913615774498082,0.7363083802443454,0.568067169189463,full
7,An Khanh,517,1.4494892316983128,0.03296384465672464,1.1420611722787575,full
8,An Loi Dong,29,0.8179442944841493,0.7754942647151388,0.6552994300579351,full
9,Thao Dien,1747,1.0252121405628665,0.4578451545975777,0.835694114016869,full
10,Ward 4,1037,1.0025404326001854,0.5909376177012406,0.7191093775897329,full
11,Ward 10,1249,0.8597676853527838,0.20568916396153247,0.6601237526886722,full
12,Ward 12,801,1.371766402156752,-0.20504742401932807,1.0339930568890452,full
13,Ward 5,1430,1.186354437392953,0.24824771290227543,0.9088081685313021,full
14,Ward 6,784,1.229615680758248,0.28532207329211245,0.956681212600399,full
15,Ward 14,830,1.2555834909003198,0.18753019876823007,0.9977099021084317,full
16,Ward 11,74,0.5513034353072014,0.4546638606906933,0.473181234823697,full
17,Ward 15,400,1.29126284049553,0.3559941809938445,0.9836150302886955,full
1,Ben Nghe,2035,1.1048586648679328,0.5886192646941573,0.78722045898437,deployment
2,Ben Thanh,1835,0.839499931598215,0.4559798652468633,0.6369253012010143,deployment
3,Caukho,1048,1.0289579449977717,0.44523341235525526,0.7692556592344292,deployment
4,Cau Ong Lanh,606,1.0722807230320166,0.40970463518762956,0.800617487438442,deployment
5,Co Giang,29,0.3697215601911064,0.9020239877444091,0.2950723582300607,deployment
6,Binh An,633,0.7386747507802487,0.698982075629954,0.5989489201309289,deployment
7,An Khanh,517,1.4192758232514442,0.07285783047199457,1.1309492011596043,deployment
8,An Loi Dong,29,0.910876290323866,0.7215810566881152,0.7496262385927547,deployment
9,Thao Dien,1747,1.1656536682524583,0.2991340971227413,0.9684025323929847,deployment
10,Ward 4,1037,1.0180148786667151,0.5782122129457339,0.7208387553289574,deployment
11,Ward 10,1249,0.8809321691634794,0.16610150456287032,0.6611642958165367,deployment
12,Ward 12,801,1.3846252984170153,-0.22774546843139842,1.0379906710316462,deployment
13,Ward 5,1430,1.2261796325199628,0.19692882842107973,0.9602022872604744,deployment
14,Ward 6,784,1.24303482551058,0.26963798940134354,0.9900580814906547,deployment
15,Ward 14,830,1.2936251485859454,0.13755197132382457,1.0380588375229438,deployment
16,Ward 11,74,0.6504347791550084,0.24091503022196448,0.5581920211379685,deployment
17,Ward 15,400,1.3428807938775298,0.303477083139823,1.029408140182494,deployment
