feature,importance,model
district_District 8,0.30102918,full
ndvi,0.12440998,full
emissivity,0.093937114,full
landcover_class,0.083317444,full
ward_Co Giang,0.06400414,full
ward_Binh An,0.062367547,full
district_District 2,0.061564777,full
ward_Ward 6,0.037147716,full
elevation_m,0.03450011,full
ward_Thao Dien,0.024168309,full
ward_Ward 5,0.022217682,full
sky_view_factor,0.015908044,full
palsar_hv_db,0.011118032,full
palsar_hh_db,0.010939296,full
palsar_glcm_contrast,0.00818407,full
palsar_glcm_homogeneity,0.007702646,full
palsar_hv_hh_ratio,0.0074351802,full
palsar_glcm_energy,0.004997843,full
bvi,0.004387044,full
pct_water,0.004364033,full
pct_vegetation,0.0043581766,full
hardscape_index,0.0043158643,full
gvi,0.0038464551,full
svi,0.0037793175,full
emissivity,0.30460042,deployment
landcover_class,0.23194952,deployment
ndvi,0.20853883,deployment
elevation_m,0.06602075,deployment
sky_view_factor,0.03753848,deployment
palsar_hv_db,0.03270548,deployment
palsar_hh_db,0.031659074,deployment
palsar_glcm_contrast,0.024876123,deployment
palsar_hv_hh_ratio,0.023134267,deployment
palsar_glcm_homogeneity,0.020837791,deployment
palsar_glcm_energy,0.018139241,deployment
